Year,Month,Day,Hour,Minute,Second,SunLongitude,SunDistance,Zodiac,Daylight,MercuryLongitude,MercuryLatitude,MercuryDistance,VenusLongitude,VenusLatitude,VenusDistance,MarsLongitude,MarsLatitude,MarsDistance,JupiterLongitude,JupiterLatitude,JupiterDistance,SaturnLongitude,SaturnLatitude,SaturnDistance,UranusLongitude,UranusLatitude,UranusDistance,NeptuneLongitude,NeptuneLatitude,NeptuneDistance,PlutoLongitude,PlutoLatitude,PlutoDistance,MoonLongitude,MoonLatitude,MoonDistance,MoonPhase
2019,1,10,6,0,0,289.172719,0.983394,Capricorn,9.411964,277.093253,-0.909013,1.379238,242.357854,3.398540,0.703119,5.749656,-0.103362,1.337251,253.409132,0.626164,6.115217,282.208853,0.474725,11.017536,28.367253,-0.529932,19.682632,344.042566,-0.966892,30.491329,290.643813,-0.115315,34.694672,334.646956,-3.142039,0.002708,45.474232
2019,1,10,12,0,0,289.427460,0.983402,Capricorn,9.416255,277.476823,-0.934383,1.380914,242.618692,3.394413,0.705020,5.918487,-0.098249,1.339383,253.459530,0.626077,6.112787,282.238288,0.474455,11.017010,28.367976,-0.529790,19.686872,344.048777,-0.966818,30.494877,290.652259,-0.115693,34.694942,337.621428,-3.350258,0.002705,48.193965
2019,1,10,18,0,0,289.682221,0.983410,Capricorn,9.420601,277.860857,-0.959545,1.382556,242.879891,3.390139,0.706922,6.087335,-0.093152,1.341516,253.509864,0.625991,6.110346,282.267713,0.474187,11.016466,28.368749,-0.529648,19.691118,344.055017,-0.966743,30.498415,290.660702,-0.116071,34.695198,340.603150,-3.549776,0.002702,50.920921
2019,1,11,0,0,0,289.936962,0.983419,Capricorn,9.425001,278.245354,-0.984494,1.384166,243.141446,3.385721,0.708823,6.256200,-0.088071,1.343650,253.560133,0.625906,6.107893,282.297128,0.473918,11.015907,28.369585,-0.529506,19.695362,344.061283,-0.966670,30.501942,290.669150,-0.116449,34.695435,343.593006,-3.740042,0.002699,53.656039
2019,1,11,6,0,0,290.191742,0.983428,Capricorn,9.429455,278.630315,-1.009231,1.385742,243.403356,3.381159,0.710724,6.425080,-0.083005,1.345784,253.610337,0.625822,6.105429,282.326534,0.473651,11.015331,28.370471,-0.529364,19.699610,344.067577,-0.966596,30.505455,290.677595,-0.116827,34.695648,346.591864,-3.920510,0.002695,56.400130
2019,1,11,12,0,0,290.446464,0.983437,Capricorn,9.433963,279.015742,-1.033752,1.387286,243.665620,3.376454,0.712625,6.593978,-0.077955,1.347919,253.660476,0.625739,6.102954,282.355927,0.473384,11.014740,28.371411,-0.529222,19.703861,344.073898,-0.966523,30.508961,290.686042,-0.117205,34.695847,349.600567,-4.090642,0.002691,59.154094
2019,1,11,18,0,0,290.701186,0.983447,Capricorn,9.438525,279.401636,-1.058055,1.388797,243.928232,3.371608,0.714525,6.762891,-0.072920,1.350055,253.710548,0.625657,6.100467,282.385312,0.473117,11.014132,28.372409,-0.529079,19.708117,344.080246,-0.966450,30.512455,290.694488,-0.117583,34.696026,352.619941,-4.249908,0.002686,61.918757
2019,1,12,0,0,0,290.955927,0.983456,Capricorn,9.443141,279.787997,-1.082139,1.390275,244.191187,3.366620,0.716426,6.931819,-0.067901,1.352191,253.760553,0.625576,6.097970,282.414684,0.472852,11.013508,28.373460,-0.528937,19.712374,344.086624,-0.966378,30.515936,290.702935,-0.117962,34.696190,355.650787,-4.397788,0.002682,64.694865
2019,1,12,6,0,0,291.210668,0.983466,Capricorn,9.447811,280.174828,-1.106000,1.391720,244.454487,3.361493,0.718326,7.100763,-0.062897,1.354327,253.810492,0.625496,6.095461,282.444045,0.472587,11.012867,28.374563,-0.528795,19.716633,344.093026,-0.966306,30.519407,290.711381,-0.118340,34.696327,358.693888,-4.533772,0.002677,67.483227
2019,1,12,12,0,0,291.465370,0.983477,Capricorn,9.452534,280.562130,-1.129637,1.393133,244.718126,3.356227,0.720226,7.269723,-0.057909,1.356465,253.860363,0.625417,6.092941,282.473394,0.472322,11.012212,28.375724,-0.528653,19.720892,344.099458,-0.966234,30.522867,290.719825,-0.118718,34.696457,1.749994,-4.657360,0.002671,70.284622
